sd_size	sd_par_size	min_size_dif	typ1_err	typ2_err	avg_size	avg_size_thr	avg_par_size	end_gen
0.416667	0.600000	1.000000	0.090113	0.203560	10.000000	10.505859	11.002814	2999
0.416667	0.600000	1.000000	0.101547	0.192370	10.000000	10.480278	11.002693	2999
0.416667	0.600000	1.000000	0.084320	0.209810	10.000000	10.520575	11.002615	2999
0.416667	0.600000	1.000000	0.106310	0.186647	10.000000	10.470088	11.003025	2999
0.416667	0.600000	1.000000	0.115093	0.178983	10.000000	10.452091	11.002486	2999
0.416667	0.600000	1.000000	0.105190	0.187803	10.000000	10.470786	11.002481	2999
0.416667	0.600000	1.000000	0.090570	0.205377	10.000000	10.506174	11.002757	2999
0.416667	0.600000	1.000000	0.104260	0.188667	10.000000	10.474106	11.002871	2999
0.416667	0.600000	1.000000	0.092013	0.202477	10.000000	10.502365	11.002255	2999
0.416667	0.600000	1.000000	0.105140	0.187433	10.000000	10.471515	11.002369	2999
0.416667	0.600000	1.000000	0.121717	0.174937	10.000000	10.440409	11.002953	2999
0.416667	0.600000	1.000000	0.090510	0.203713	10.000000	10.505483	11.002384	2999
0.416667	0.600000	1.000000	0.107673	0.186493	10.000000	10.465422	11.002635	2999
0.416667	0.600000	1.000000	0.089283	0.205383	10.000000	10.508282	11.002964	2999
0.416667	0.600000	1.000000	0.100373	0.193077	10.000000	10.482599	11.002615	2999
0.416667	0.600000	1.000000	0.102063	0.191853	10.000000	10.479559	11.002724	2999
0.416667	0.600000	1.000000	0.102683	0.191860	10.000000	10.476909	11.002588	2999
0.416667	0.600000	1.000000	0.093493	0.199847	10.000000	10.496871	11.002088	2999
0.416667	0.600000	1.000000	0.112507	0.181547	10.000000	10.456236	11.002453	2999
0.416667	0.600000	1.000000	0.104377	0.188563	10.000000	10.474270	11.002968	2999
0.416667	0.600000	1.000000	0.088890	0.205770	10.000000	10.510447	11.002959	2999
0.416667	0.600000	1.000000	0.120387	0.173927	10.000000	10.440959	11.002756	2999
0.416667	0.600000	1.000000	0.101760	0.192070	10.000000	10.480051	11.002819	2999
0.416667	0.600000	1.000000	0.103140	0.190807	10.000000	10.477627	11.003132	2999
0.416667	0.600000	1.000000	0.089830	0.204700	10.000000	10.506109	11.002423	2999
0.416667	0.600000	1.000000	0.095640	0.197707	10.000000	10.493355	11.002929	2999
0.416667	0.600000	1.000000	0.097423	0.197153	10.000000	10.489677	11.002844	2999
0.416667	0.600000	1.000000	0.084167	0.211137	10.000000	10.520151	11.002664	2999
0.416667	0.600000	1.000000	0.085470	0.209667	10.000000	10.518359	11.002731	2999
0.416667	0.600000	1.000000	0.092070	0.202587	10.000000	10.500934	11.002450	2999
0.416667	0.600000	1.000000	0.098310	0.196380	10.000000	10.487848	11.002620	2999
0.416667	0.600000	1.000000	0.112543	0.181913	10.000000	10.457131	11.002736	2999
0.416667	0.600000	1.000000	0.086697	0.209150	10.000000	10.514084	11.002470	2999
0.416667	0.600000	1.000000	0.105050	0.186930	10.000000	10.471102	11.002126	2999
0.416667	0.600000	1.000000	0.091543	0.203280	10.000000	10.502861	11.002638	2999
0.416667	0.600000	1.000000	0.103793	0.188937	10.000000	10.475915	11.002625	2999
0.416667	0.600000	1.000000	0.119697	0.177127	10.000000	10.442369	11.002493	2999
0.416667	0.600000	1.000000	0.087453	0.207660	10.000000	10.513425	11.002810	2999
0.416667	0.600000	1.000000	0.087653	0.208013	10.000000	10.512154	11.002882	2999
0.416667	0.600000	1.000000	0.083430	0.211517	10.000000	10.521973	11.002564	2999
0.416667	0.600000	1.000000	0.075820	0.222907	10.000000	10.544476	11.002930	2999
0.416667	0.600000	1.000000	0.116160	0.178787	10.000000	10.450407	11.002859	2999
0.416667	0.600000	1.000000	0.088290	0.207250	10.000000	10.511587	11.002445	2999
0.416667	0.600000	1.000000	0.094930	0.198693	10.000000	10.494999	11.002530	2999
0.416667	0.600000	1.000000	0.111073	0.184283	10.000000	10.460007	11.002570	2999
0.416667	0.600000	1.000000	0.098033	0.194670	10.000000	10.488671	11.003109	2999
0.416667	0.600000	1.000000	0.116393	0.178657	10.000000	10.447617	11.002258	2999
0.416667	0.600000	1.000000	0.098253	0.195877	10.000000	10.485879	11.002636	2999
0.416667	0.600000	1.000000	0.109750	0.183027	10.000000	10.462088	11.002599	2999
0.416667	0.600000	1.000000	0.117863	0.177137	10.000000	10.445669	11.002835	2999
0.416667	0.600000	1.000000	0.111957	0.181923	10.000000	10.457550	11.002443	2999
0.416667	0.600000	1.000000	0.111443	0.183470	10.000000	10.459933	11.002968	2999
0.416667	0.600000	1.000000	0.110563	0.182967	10.000000	10.462019	11.002909	2999
0.416667	0.600000	1.000000	0.086940	0.207440	10.000000	10.514272	11.003052	2999
0.416667	0.600000	1.000000	0.085040	0.210463	10.000000	10.517704	11.002670	2999
0.416667	0.600000	1.000000	0.112987	0.182017	10.000000	10.455384	11.002670	2999
0.416667	0.600000	1.000000	0.081357	0.213850	10.000000	10.527065	11.002649	2999
0.416667	0.600000	1.000000	0.109767	0.183930	10.000000	10.463587	11.002690	2999
0.416667	0.600000	1.500000	0.043087	0.090810	10.000000	10.698853	11.502413	2999
0.416667	0.600000	1.500000	0.055207	0.078153	10.000000	10.652952	11.502806	2999
0.416667	0.600000	1.500000	0.055107	0.077910	10.000000	10.650521	11.502757	2999
0.416667	0.600000	1.500000	0.047150	0.087503	10.000000	10.683654	11.502575	2999
