sd_patt	sd_par_patt	min_patt_dif	typ1_err	typ2_err	avg_patt	avg_patt_thr	avg_par_patt	end_gen
0.416667	0.600000	1.000000	0.085767	0.209097	10.000000	10.516568	11.002851	2999
0.416667	0.600000	1.000000	0.102497	0.190133	10.000000	10.478146	11.002466	2999
0.416667	0.600000	1.000000	0.106957	0.187647	10.000000	10.467253	11.002433	2999
0.416667	0.600000	1.000000	0.118850	0.176057	10.000000	10.443545	11.002310	2999
0.416667	0.600000	1.000000	0.099757	0.194730	10.000000	10.485056	11.002653	2999
0.416667	0.600000	1.000000	0.104043	0.189510	10.000000	10.474061	11.002618	2999
0.416667	0.600000	1.000000	0.105527	0.187247	10.000000	10.471858	11.002691	2999
0.416667	0.600000	1.000000	0.085757	0.208913	10.000000	10.517294	11.002737	2999
0.416667	0.600000	1.000000	0.091847	0.203097	10.000000	10.501312	11.002771	2999
0.416667	0.600000	1.000000	0.075000	0.221460	10.000000	10.543683	11.002676	2999
0.416667	0.600000	1.000000	0.087170	0.206930	10.000000	10.513584	11.002822	2999
0.416667	0.600000	1.000000	0.096243	0.197790	10.000000	10.491607	11.002307	2999
0.416667	0.600000	1.000000	0.086477	0.208793	10.000000	10.515782	11.002420	2999
0.416667	0.600000	1.000000	0.093193	0.202513	10.000000	10.498163	11.002777	2999
0.416667	0.600000	1.000000	0.083437	0.212690	10.000000	10.523627	11.002865	2999
0.416667	0.600000	1.000000	0.109450	0.184697	10.000000	10.462178	11.002369	2999
0.416667	0.600000	1.000000	0.086497	0.207897	10.000000	10.514973	11.002425	2999
0.416667	0.600000	1.000000	0.090633	0.203697	10.000000	10.503713	11.002826	2999
0.416667	0.600000	1.000000	0.096477	0.197230	10.000000	10.492035	11.002487	2999
0.416667	0.600000	1.000000	0.104963	0.189247	10.000000	10.472540	11.002601	2999
0.416667	0.600000	1.000000	0.104230	0.190080	10.000000	10.474799	11.002694	2999
0.416667	0.600000	1.000000	0.110933	0.183330	10.000000	10.460974	11.003082	2999
0.416667	0.600000	1.000000	0.100693	0.193153	10.000000	10.483290	11.002633	2999
0.416667	0.600000	1.000000	0.141513	0.159043	10.000000	10.401938	11.002395	2999
0.416667	0.600000	1.000000	0.106820	0.186493	10.000000	10.468770	11.002667	2999
0.416667	0.600000	1.000000	0.102500	0.190267	10.000000	10.477232	11.002393	2999
0.416667	0.600000	1.000000	0.090457	0.214000	10.000000	10.517705	11.002487	2999
0.416667	0.600000	1.000000	0.106530	0.187427	10.000000	10.468932	11.002555	2999
0.416667	0.600000	1.000000	0.069023	0.232270	10.000000	10.562740	11.002699	2999
0.416667	0.600000	1.000000	0.096980	0.197953	10.000000	10.490773	11.002578	2999
0.416667	0.600000	1.000000	0.103420	0.189253	10.000000	10.476016	11.002566	2999
0.416667	0.600000	1.000000	0.078943	0.216783	10.000000	10.534080	11.002302	2999
0.416667	0.600000	1.000000	0.117073	0.178097	10.000000	10.445998	11.002384	2999
0.416667	0.600000	1.000000	0.101720	0.192443	10.000000	10.480107	11.002564	2999
0.416667	0.600000	1.000000	0.088327	0.204213	10.000000	10.509119	11.002813	2999
0.416667	0.600000	1.000000	0.109640	0.184900	10.000000	10.461499	11.002209	2999
0.416667	0.600000	1.000000	0.073950	0.223767	10.000000	10.547970	11.002684	2999
0.416667	0.600000	1.000000	0.085727	0.208940	10.000000	10.515964	11.002682	2999
0.416667	0.600000	1.000000	0.103100	0.190537	10.000000	10.476917	11.002493	2999
0.416667	0.600000	1.000000	0.109723	0.184857	10.000000	10.464898	11.002901	2999
0.416667	0.600000	1.000000	0.080590	0.214887	10.000000	10.529306	11.002483	2999
0.416667	0.600000	1.000000	0.077660	0.219580	10.000000	10.537980	11.002744	2999
0.416667	0.600000	1.000000	0.094360	0.200323	10.000000	10.497113	11.002917	2999
0.416667	0.600000	1.000000	0.079787	0.216637	10.000000	10.531371	11.002540	2999
0.416667	0.600000	1.000000	0.079707	0.217227	10.000000	10.531664	11.002238	2999
0.416667	0.600000	1.000000	0.091900	0.201710	10.000000	10.502676	11.002676	2999
0.416667	0.600000	1.000000	0.103163	0.190147	10.000000	10.478245	11.002750	2999
0.416667	0.600000	1.500000	0.061237	0.073693	10.000000	10.630410	11.502615	2999
0.416667	0.600000	1.500000	0.059850	0.074097	10.000000	10.634493	11.502610	2999
0.416667	0.600000	1.500000	0.059363	0.074597	10.000000	10.637081	11.502314	2999
0.416667	0.600000	1.500000	0.045203	0.088083	10.000000	10.691108	11.502561	2999
0.416667	0.600000	1.500000	0.057167	0.076180	10.000000	10.644419	11.502758	2999
0.416667	0.600000	1.500000	0.034613	0.103210	10.000000	10.740552	11.502963	2999
0.416667	0.600000	1.500000	0.051353	0.082513	10.000000	10.667832	11.502788	2999
0.416667	0.600000	1.500000	0.046617	0.088413	10.000000	10.689604	11.502742	2999
0.416667	0.600000	1.500000	0.037660	0.098297	10.000000	10.725827	11.502761	2999
0.416667	0.600000	1.500000	0.055343	0.079010	10.000000	10.651650	11.502410	2999
0.416667	0.600000	1.500000	0.041750	0.092577	10.000000	10.704759	11.502486	2999
0.416667	0.600000	1.500000	0.051873	0.080187	10.000000	10.663721	11.502668	2999
0.416667	0.600000	1.500000	0.033947	0.104647	10.000000	10.743863	11.502636	2999
0.416667	0.600000	1.500000	0.045827	0.088003	10.000000	10.689065	11.502555	2999
0.416667	0.600000	1.500000	0.037010	0.098137	10.000000	10.728811	11.503046	2999
0.416667	0.600000	1.500000	0.050230	0.083000	10.000000	10.671536	11.502390	2999
